HEX,COLOR,ACCIDENT_COUNT,BRIGHTNESS,LIGHT_CONDITION,SEVERITY,CLUSTERS
#808080,grey,30901,0.5,1.818517200090612,2.6471635222161094,1
#a52a2a,brown,2206,0.41,1.7955575702629194,2.6355394378966457,1
#8C472F,fawn,1402,0.37,1.7674750356633382,2.6340941512125533,1
#C0C0C0,silver,52083,0.75,1.8071731659082617,2.630397634544861,1
#FFD700,gold,6706,0.5,1.8231434536236206,2.621532955562183,1
#0000ff,blue,34925,0.5,1.8241088045812455,2.619527559055118,1
#FFFFFF,white,83858,1.0,1.7831333921629422,2.6167926733287223,1
#F5C85C,cream,466,0.66,1.8390557939914163,2.6137339055793993,1
#FF0000,red,27552,0.5,1.8042247386759582,2.610010162601626,1
